"SECTION","COMMENTS","data_type","slug","name","description","formula","partition","origin","method","sector","variable","target"
,,"float","education_facility_rating","Education Facility Rating",,"sum_non_null_values(d,['education_infrastructure_rating','education_classroom_rating','education_access_rating','education_staffing_rating','education_resources_rating'])",,,,,,
,,"boolean","basic_emoc_need_upgrade","Basic EmOC needs upgrade",,"d['emoc_antibiotics'] and (d['emoc_oxytocin'] or d['emoc_misoprotol']) and d['emoc_nurse_midwife_24_7']",,,,,,
,,"float","health_facility_rating","Total Health Facility Rating",,"sum_non_null_values(d,['health_infrastructure_rating','health_staffing_rating','health_access_rating','health_maternal_health_rating','health_child_health_rating','health_disease_rating'])",,,,,,
,,"float","target_health_facilities_basic_emoc","Target for health facilities with Basic EmOC",,"d['pop_population'] / 20000.0",,,,,,
,,"boolean","is_primary_care","Primary care facility (excluding health post & dispensaries)",,"d['facility_type'] in ['primaryhealthclinic', 'primaryhealthcarecentre', 'wardmodelprimaryhealthcentre', 'comprehensivehealthcentre', 'maternity']",,,,,,
,,"boolean","is_all_primary_care","Primary care facilitites (including health posts & dispensaries)",,"d['facility_type'] in ['primaryhealthclinic', 'primaryhealthcarecentre', 'wardmodelprimaryhealthcentre', 'comprehensivehealthcentre', 'maternity', 'healthpost', 'dispensary']",,,,,,
,,"boolean","is_hospital","Hospital",,"d['facility_type'] in ['cottagehospital', 'teachinghospital', 'teachinghospital', 'federalmedicalcentre', 'generalhospital', 'specialisthospital']",,,,,,
,,"boolean","is_basic_care","Basic health facility",,"d['facility_type'] in ['dispensary', 'healthpost']",,,,,,
,,"boolean","is_comprehensive_care","Comprehensive health facility",,"d['facility_type'] in ['primary_health_clinic']",,,,,,
,,"boolean","Institutional_delivery_only","Institutional delivery only",,"d['emoc_none'] and d['skilled_birth_attendant']",,,,,,
,,"boolean","basic_emoc_fully_functional","Basic EmOC is fully functional",,"d['emoc_available_24_7'] and d['emoc_parenteral1'] and d['emoc_transport_referrals'] and d['power_access'] and d['emoc_uterotonic2'] and d['emoc_four_midwives'] and d['emoc_parenteral_anticonvulsant'] and d['emoc_forceps'] and d['emoc_vacuum_extractor'] and d['emoc_antishock_garment']",,,,,,
,,"float","target_health_facilities_basic_emoc","Target for health facilities with Basic EmOC",,"d['pop_population'] / 20000.0",,,,,,
,,"float","target_health_facilities_institutional_delivery_only",,,"(d['pop_population'] / 20000.0) + 1",,,,,,
,,"boolean","comprehensive_emoc_need_upgrade","Comprehensive EmOC needs upgrade",,"d['compr_oc_c_sections'] and (d['compr_oc_one_nursemidwife_24hr'] or d['num_doctors_fulltime'] >= 1)",,,,,,
,,"boolean","comprehensive_emoc_fully_functional","Comprehensive EmOC is fully functional",,"d['compr_oc_available_24_7'] and d['compr_oc_antibiotics'] and d['compr_oc_oxytocin'] and d['compr_oc_misoprotol'] and d['power_access'] and d['compr_oc_antishock_garment'] and d['compr_oc_transport_referrals'] and d['compr_oc_suction_machine'] and d['compr_oc_four_midwives'] and d['compr_oc_blood_transfusions'] and d['compr_oc_c_sections'] and d['emoc_parenteral1'] and d['emoc_parenteral_anticonvulsant'] and d['emoc_forceps']",,,,,,
,,"float","target_health_facilities_comprehensive_emoc","Target for health facilities with Comprehensive EmOC",,1,,,,,,
,,"float","target_health_facilities_functioning_emergency_transport","Target for health facilities with access to emergency transport that is currently functioning",,"d['target_health_facilities_basic_emoc'] - 1",,,,,,
,,"boolean","functioning_mobile_phone_and_coverage","Functioning mobile phone and coverage on the premises",,"d['info_tech_available_mobile'] and d['mobile_phone_funct_yn'] and d['info_tech_available_coverage']",,,,,,
,,"boolean","improved_sanitation_need_upgrade","Improved sanitation that needs upgrade or repair",,"d['improved_sanitation'] and d['improved_sanitation_not_functioning']",,,,,,
,,"boolean","improved_sanitation_and_functional","Improved sanitation on premises that is currently functional",,"d['improved_sanitation'] and d['improved_sanitation_functioning']",,,,,,
,,"boolean","malaria_testing","Malaria testing",,"d['lab_tests_malaria_rdt'] or d['lab_tests_malaria_microscopy']",,,,,,
,,"boolean","minimum_lab_diagnostics","Minimum laboratory diagnostics",,"d['malaria_testing'] and d['lab_tests_hemoglobin_testing']",,,,,,
,,"boolean","has_itns","Insecticide treated bednets available",,"d['malaria_treatment_srvcs_itn'] or d['supplies_available_bednets']",,,,,,
,,"boolean","routine_immunization","Routine immunization",,"d['equipment_refrigerator'] and d['vaccines_stored_yn'] and d['child_health_bcg_immunization'] and d['child_health_opv_immunization'] and d['child_health_dpt_immunization'] and d['child_health_measles_immun'] and d['child_health_hepb_immunization'] and d['child_health_tetanus_immun']",,,,,,
,,"boolean","at_least_1_doctor_fulltime_per_hospital","At least one fulltime doctor on staff",,"d['is_hospital'] and d['num_doctors_fulltime'] > 0",,,,,,
,,"float","num_midwives_and_nursemidwives","Midwives and nursemidwives",,"d['num_midwives_fulltime'] and d['num_nursemidwives_fulltime']",,,,,,
,,"boolean","min_3_midwives_and_nursemidwives","At least three midwives and nursemidwives",,"d['num_midwives_and_nursemidwives']>=3",,,,,,
,,"boolean","min_3_midwives_and_nursemidwives_per_primary_care","At least three midwives and nursemidwives per primary health clinic and centre",,"d['is_primary_care'] and d['min_3_midwives_and_nursemidwives']",,,,,,
,,"boolean","min_2_nurses_fulltime","At least two nurses",,"d['num_nurses_fulltime']>=2",,,,,,
,,"boolean","min_2_nurses_fulltime_per_primary_care","At least two nurses per primary care ",,"d['is_primary_care'] and d['min_2_nurses_fulltime']",,,,,,
,,"boolean","min_4_sr_chews","Minimum of four Sr CHEWs",,"d['num_chews_fulltime'] >=4",,,,,,
,,"boolean","min_4_sr_chews_per_primary_care","Minimum of four Sr CHEWs per primary care facility",,"d['min_4_sr_chews'] and d['is_primary_care']",,,,,,
,,"boolean","min_1_jr_chew ","Minimum of 1 Junior CHEW",,"d['num_jr_chews_fulltime']>=1",,,,,,
,,"boolean","min_1_jr_chew_per_basic_health_facility","Minimum of one Jr CHEW per basic health facility",,"d['is_basic_care'] and d['min_1_jr_chew ']",,,,,,
,,"boolean","potable_water_access","Access to potable water",,"d['days_no_potable_water_pastmth']<=7",,,,,,
,,"boolean","is_primary_school","All schools that provide primary education",,"d['level_of_education'] in ['preprimary', 'primary', 'js', 'js_ss']",,,,,,
,,"float","target_num_primary_schools",,,"d['pop_population'] * d['pop_ratio_5_9'] / (35.0 * 6.0)",,,,,,
,,"float","target_num_primary_classrooms",,,"d['pop_population'] * d['pop_ratio_5_9'] / 35.0",,,,,,
,,"float","primary_classrms_need_min_repairs","Number of primary school classrooms needing minor repair",,"d['is_primary_school'] and d['num_classrms_need_min_repairs']",,,,,,
,,"float","primary_classrms_need_maj_repairs","Number of primary school classrooms needing major repair",,"d['is_primary_school'] and d['num_classrms_need_maj_repairs']",,,,,,
,,"float","primary_classrms_good_cond","Number of primary school classrooms in good condition",,"d['is_primary_school'] and d['num_classrms_good_cond']",,,,,,
,,"boolean","primary_school_with_potable_water","Number of primary schools with access to potable water",,"d['potable_water_access'] and d['is_primary_school']",,,,,,
,,"boolean","primary_school_with_improved_sanitation_need_upgrade",,,"d['is_primary_school'] and d['improved_sanitation_not_functioning']",,,,,,
,,"boolean","primary_school_with_improved_sanitation_functioning",,,"d['is_primary_school'] and d['improved_sanitation_functioning']",,,,,,
,,"boolean","primary_school_with_chalkboards_each_classroom","Primary schools with chalkboards in each classroom",,"d['chalkboard_each_classroom_yn'] and d['is_primary_school']",,,,,,
,,"float","num_primary_school_benches","Total number of benches in primary schools",,"d['is_primary_school'] and (d['num_attached_benches'] + d['num_unattached_benches'])",,,,,,
,,"float","target_primary_school_benches","Target number of benches in primary schools",,"d['primary_classrms_good_cond']*17.5",,,,,,
,,"float","num_primary_school_desks",,,"d['is_primary_school'] and d['num_unattached_benches']",,,,,,
,,"float","target_primary_school_desks","Target number of desks in primary schools",,"d['primary_classrms_good_cond']*17.5",,,,,,
,,"float","total_num_textbooks_english","Total number of English textbooks",,"(d['num_textbooks_english']/10.0)*(d['num_students_total']) ",,,,,,
,,"float","total_num_textbooks_math","Total number of Math textbooks",,"(d['num_textbooks_math']/10.0)*(d['num_students_total']) ",,,,,,
,,"float","total_num_textbooks_social_sci","Total number of Social Science textbooks",,"(d['num_textbooks_social_sci']/10.0)*(d['num_students_total']) ",,,,,,
,,"float","total_num_textbooks_pry_sci","Total number of Primary Science textbooks",,"(d['num_textbooks_pry_sci']/10.0)*(d['num_students_total']) ",,,,,,
,,"float","estimated_textbooks","Estimated number of textbooks",,"d['total_num_textbooks_english'] + d['total_num_textbooks_math'] + d['total_num_textbooks_social_sci'] + d['total_num_textbooks_pry_sci']",,,,,,
,,"float","estimated_primary_school_textbooks","Estimated number of textbooks in primary schools",,"d['is_primary_school'] and d['estimated_textbooks']",,,,,,
,,"float","target_primary_school_textbooks","Target number of textbooks in primary schools",,"d['num_students_total']*4.0",,,,,,
,,"float","estimated_exercise_books","Estimated number of exercise books",,"d['num_exercise_books']/10.0",,,,,,
,,"float","estimated_primary_school_exercise_books","Estimated number of exercise books in primary schools",,"d['is_primary_school'] and d['estimated_exercise_books']",,,,,,
,,"float","target_primary_school_exercise_books","Target number of exercise books in primary schools",,"d['num_students_total']",,,,,,
,,"boolean","primary_school_with_sufficient_pens","Primary schools that provide pens and pencils to students",,"d['provide_pens_yn'] and d['pens_sufficient'] and d['is_primary_school'] ",,,,,,
,,"boolean","primary_school_natl_curriculum_and_teaching_kit","Primary schools that use national curriculum and in which teachers have teaching tool kits",,"d['natl_curriculum_yn'] and d['teacher_guide_yn'] and ['is_primary_school']",,,,,,
,"NOT NEEDED?","float","total_teachers_unqualified_primary","Total unqualified teachers (without NCE)",,"d['tchrs_male_other_wo_nce '] and d['tchrs_female_other_wo_nce'] and ['All_primary_schools']",,,,,,
,,"float","num_primary_school_teachers_qualified","Total qualified teachers (with NCE)",,"d['is_primary_school'] and (d['tchrs_male_other_w_nce '] + d['tchrs_female_other_w_nce'])",,,,,,
,,"float","num_primary_school_teachers_need_training",,,"d['is_primary_school'] and (d['tchrs_male_other_wo_nce '] + d['tchrs_female_other_wo_nce'])",,,,,,
,,,,,,,,,,,,
"PARTITION VARIABLES",,,,,,,,,,,,
,,"float","example_score_has_power","Example weighted score",,,"[{""label"": ""has power"", ""value"": ""5"", ""criteria"": ""d['power_access']""}, {""label"": ""has no power"", ""value"": 0, ""criteria"": ""not d['power_access']""}]",,,,,
,,"float","education_score_distance_to_catchment",,,,"[{""label"": ""less than 1km"", ""value"": ""3"", ""criteria"": ""d['km_to_catchment_area'] < 1""}, {""label"": ""between 1 and 2km"", ""value"": 2, ""criteria"": ""d['km_to_catchment_area'] >= 1 and d['km_to_catchment_area'] <= 2""}, {""label"": ""more than 2km"", ""value"": 1, ""criteria"": ""d['km_to_catchment_area'] > 2""}]",,,,,
,,"float","health_score_infrastructure",,,,"[{""label"": """", ""value"": ""sum_non_null_values(d, ['water_access', 'improved_sanitation', 'mobile_signal_funct_yn']) / 3.0"", ""criteria"": ""d['is_basic_care']""}, {""label"": """", ""value"": ""sum_non_null_values(d, ['water_access', 'power_access', 'improved_sanitation', 'mobile_signal_funct_yn']) / 4.0"", ""criteria"": ""not d['is_basic_care']""}]",,,,,
,,,,,,,,,,,,
"LGA INDICATORS",,,,,,,,,,,,
,,"float","num_health_facilities_institutional_delivery_only","Number of health facilities with skilled birth attendants (institutional delivery only)",,,,"Institutional_delivery_only","count_true","health",,
,,"float","num_health_facilities_with_power","Number of Health Facilities with Power",,,,"power_access","count_true","health",,
,,"float","num_health_facilities_basic_emoc_need_upgrade","Number of Health Facilities that needs Basic EmOC upgrade",,,,"basic_emoc_need_upgrade","count_true","health",,
,,"float","num_health_facilities_basic_emoc_fully_functional","Number of Health Facilities whose Basic EmOC is fully functional",,,,"basic_emoc_fully_functional","count_true","health",,
,,"float","num_health_facilities_comprehensive_emoc_need_upgrade","Number of Health Facilities that needs Comprehensive EmOC upgrade",,,,"comprehensive_emoc_need_upgrade","count_true","health",,
,,"float","num_health_facilities_comprehensive_emoc_fully_functional","Number of Health Facilities whose Comprehensive EmOC is fully functional",,,,"comprehensive_emoc_fully_functional","count_true","health",,
,,"float","education_avg_num_students","Average number of students per school",,,,"num_students_total","avg","education",,
,,"percent","education_percentage_of_schools_with_school_code","Percentage of schools with a school code",,,,"school_code_yn","percentage_true","education",,
,,"proportion","education_proportion_of_schools_with_power","Proportion of schools with power access",,,,"power_access","proportion_true","education",,
,,"float","num_health_facilities_with_functioning_emergency_transport","Number of health facilities with access to emergency transport that is currently functional",,,,"emergency_transport_currently_functioning","count_true","health",,
,,"float","num_health_facilities_functioning_mobile_and_coverage","Number of health facilities with functioning mobile phone and coverage on premises",,,,"functioning_mobile_phone_and_coverage","count_true","health",,
,,"float","num_health_facilities_potable_water_past_mth","Number of health facilities with access to potable water in past month",,,,"potable_water_access","count_true","health",,
,,"float","num_primary_health_facilities","Number of primary health facilities (excluding health posts and dispensaries)",,,,"is_primary_care","count_true","health",,
,,"float","num_comprehensive_primary_care",,,,,"is_comprehensive_care","count_true","health",,
,,"float","num_all_primary_health_facilities","Number of primary health facilities (including health posts and dispensaries)",,,,"is_all_primary_care","count_true","health",,
,,"float","num_not_basic_care",,,,,"is_basic_care","count_false","health",,
,,"float","num_health_facilities_with_functioning_improved_sanitation","Number of health facilities with improved sanitation",,,,"improved_sanitation_and_functional","count_true","health",,
,,"float","num_health_facilities_power_access_and_functional","Number of health facilities with power that is working",,,,"power_access_and_functional","count_true","health",,
,,"float","num_health_facilities_with_min_equipment_package","Number of health facilities with the minimum equipment package",,,,"minimum_equipment_package","count_true","health",,
,,"float","num_health_facilities_with_min_essential_meds","Number of health facilities with the minimum essential medications",,,,"minimum_essential_meds_package","count_true","health",,
,,"float","num_health_facilities_with_min_lab_diagnostics","Number of Health Facilities that have minimum labratory diagnostics",,,,"minimum_lab_diagnostics","count_true","health",,
,,"float","num_health_facilities_with_itns","Number of health facilities with insecticide treated bednets available",,,,"has_itns","count_true","health",,
,,"float","num_health_facilities_with_malaria_testing","Number of health facilities with malaria testing",,,,"malaria_testing","count_true","health",,
,,"float","num_health_facilities_with_artemisinin_for_malaria","Number of health facilities that have artemisinin for the treatment of malaria",,,,"malaria_treatment_artemisinin","count_true","health",,
,,"float","num_health_facilities_with_malaria_treatment_sulphadoxine","Number of health facilities that have sulphadoxine for the prevention of malaria during pregnancy",,,,"malaria_treatment_sulphadoxine","count_true","health",,
,,"float","num_health_facilities_routine_immunization","Number of health facilities that offer routine immunization",,,,"routine_immunization","count_true","health",,
,,"float","num_hospitals","Number of Hospitals",,,,"is_hospital","count_true","health",,
,,"float","num_hospitals_with_at_least_one_fulltime_doctor","Number of hospitals with at least one fulltime doctor",,,,"at_least_1_doctor_fulltime_per_hospital","count_true","health",,
,,"float","num_primary_care_with_min_3_midwives_and_nursemidwives","Number of primary health facilities with a minimum of 3 midwives and nursemidwives",,,,"min_3_midwives_and_nursemidwives_per_primary_care","count_true","health",,
,,"float","num_primary_care_with_min_2_nurses_fulltime","Number of primary health facilities with minimum of 2 nurses",,,,"min_2_nurses_fulltime_per_primary_care","count_true","health",,
,,"float","num_primary_care_with_min_4_sr_chews","Primary care facilities with a minimum of four Sr CHEWs ",,,,"min_4_sr_chews_per_primary_care","count_true","health",,
,,"float","num_basic_health_facilities","Number of basic health facilities",,,,"is_basic_care","count_true","health",,
,,"float","num_basic_facilities_with_min_1_jr_chew","Basic health facilities with a minimum of one Jr CHEW",,,,"min_1_jr_chew_per_basic_health_facility","count_true","health",,
,,"float","num_primary_schools","Number of Primary Schools",,,,"is_primary_school","count_true","education",,
,,"float","num_primary_schools_with_potable_water","Number of primary schools with potable water",,,,"primary_school_with_potable_water","count_true","education",,
,,"float","num_primary_schools_with_improved_sanitation_functioning",,,,,"primary_school_with_improved_sanitation_functioning","count_true","education",,
,,"float","num_primary_classrooms_need_min_repairs",,,,,"primary_classrms_need_min_repairs","sum","education",,
,,"float","num_primary_classrooms_need_maj_repairs",,,,,"primary_classrms_need_maj_repairs","sum","education",,
,,"float","num_primary_classrooms_good_cond",,,,,"primary_classrms_good_cond","sum","education",,
,,"float","num_primary_schools_with_chalkboards_each_classroom",,,,,"primary_school_with_chalkboards_each_classroom","count_true","education",,
,,"float","primary_school_benches",,,,,"num_primary_school_benches","sum","education",,
,,"float","sum_target_primary_school_benches",,,,,"target_primary_school_benches","sum","education",,
,,"float","primary_school_desks",,,,,"num_primary_school_desks","sum","education",,
,,"float","sum_target_primary_school_desks",,,,,"target_primary_school_desks","sum","education",,
,,"float","primary_school_textbooks",,,,,"estimated_primary_school_textbooks","sum","education",,
,,"float","sum_target_primary_school_textbooks",,,,,"target_primary_school_textbooks","sum","education",,
,,"float","primary_school_exercise_books",,,,,"estimated_primary_school_exercise_books","sum","education",,
,,"float","sum_target_primary_school_exercise_books",,,,,"target_primary_school_exercise_books","sum","education",,
,,"float","num_primary_schools_improved_sanitation_need_upgrade","Number of primary schools with improved sanitation that needs upgrade/repair",,,,"primary_school_with_improved_sanitation_need_upgrade","count_true","education",,
,,"float","num_primary_schools_improved_sanitation_functioning","Number of primary schools with improved sanitation that is fully functional",,,,"primary_school_with_improved_sanitation_functioning","count_true","education",,
,,"float","num_primary_schools_with_sufficient_pens","Number of primary schools that provide pens and pencils and have enough for all students",,,,"primary_school_with_sufficient_pens","count_true","education",,
,,"float","num_primary_schools_natl_curriculum_and_teaching_kit","Number of primary schools that use national curriculum and in which teachers have teaching tool kits",,,,"primary_school_natl_curriculum_and_teaching_kit","count_true","education",,
,,"float","primary_school_teachers_qualified",,,,,"num_primary_school_teachers_qualified","sum","education",,
,,"float","primary_school_teachers_need_training",,,,,"num_primary_school_teachers_need_training","sum","education",,
,,,,,,,,,,,,
"GAP VARIABLES",,,,,,,,,,,,
,,"float","gap_health_facilities_institutional_delivery_only","Gap for health facilities with skilled birth attendants (institutional delivery only)",,,,,,,"num_health_facilities_institutional_delivery_only","target_health_facilities_institutional_delivery_only"
,,"float","gap_health_facilities_basic_emoc","Gap for health facilities with Basic EmOC",,,,,,,"num_health_facilities_basic_emoc_fully_functional","target_health_facilities_basic_emoc"
,,"float","gap_health_facilities_comprehensive_emoc","Gap for health facilities with Comprehensive EmOC",,,,,,,"num_health_facilities_comprehensive_emoc_fully_functional","target_health_facilities_comprehensive_emoc"
,,"float","gap_health_facilities_emergency_transport","Gap for health facilities with access to functional emergency transport",,,,,,,"num_health_facilities_with_functioning_emergency_transport","num_primary_health_facilities"
,,"float","gap_health_facilities_functioning_mobile_communications","Gap for health facilities with functional mobile communications",,,,,,,"num_health_facilities_functioning_mobile_and_coverage","num_primary_health_facilities"
,,"float","gap_health_facilities_potable_water","Gap for health facilities with access to potable water in past month",,,,,,,"num_health_facilities_potable_water_past_mth","num_primary_health_facilities"
,,"float","gap_health_facilities_functioning_improved_sanitation","Gap for health facilities with improved sanitation that is currently functional",,,,,,,"num_health_facilities_with_functioning_improved_sanitation","num_primary_health_facilities"
,,"float","gap_health_facilities_power_access_and_funtional","Gap for health facilities with functioning power source",,,,,,,"num_health_facilities_power_access_and_functional","num_primary_health_facilities"
,,"float","gap_health_facilities_with_min_equip_package","Gap for health facilities with minimum equipment package",,,,,,,"num_health_facilities_with_min_equipment_package","num_primary_health_facilities"
,,"float","gap_health_facilities_with_min_essential_meds","Gap for health facilities with minimum essential medications",,,,,,,"num_health_facilities_with_min_essential_meds","num_primary_health_facilities"
,,"float","gap_health_facilities_minimum_lab_diagnostics","Gap for health facilities with minimum labratory diagnostics",,,,,,,"num_health_facilities_with_min_lab_diagnostics","num_all_primary_health_facilities"
,,"float","gap_health_facilities_with_itns","Gap for health facilities with insecticide treated bednets available",,,,,,,"num_health_facilities_with_itns","num_all_primary_health_facilities"
,,"float","gap_health_facilities_with_malaria_testing","Gap for health facilities that do malaria testing",,,,,,,"num_health_facilities_with_malaria_testing","num_all_primary_health_facilities"
,,"float","gap_health_facilities_with_artemisinin_for_malaria","Gap for health facilities with artemisinin for the treatment of malaria",,,,,,,"num_health_facilities_with_artemisinin_for_malaria","num_all_primary_health_facilities"
,,"float","gap_health_facilities_with_sulphadoxine_for_malaria","Gap for health facilities that have sulphadoxine for the prevention of malaria during pregnancy",,,,,,,"num_health_facilities_with_malaria_treatment_sulphadoxine","num_all_primary_health_facilities"
,,"float","gap_health_facilities_routine_immunization","Gap for health facilites that offer routine immunization",,,,,,,"num_health_facilities_routine_immunization","num_all_primary_health_facilities"
,,"float","gap_hospitals_with_at_least_one_fulltime_doctor","Gap for hospitals with at least one fulltime doctor",,,,,,,"num_hospitals_with_at_least_one_fulltime_doctor","num_hospitals"
,,"float","gap_primary_care_with_min_3_midwives_and_nursemidwives","Gap for primary care clinics with minimum 3 midwives and nursemidwives",,,,,,,"num_primary_care_with_min_3_midwives_and_nursemidwives","num_primary_health_facilities"
,,"float","gap_primary_care_with_min_2_nurses","Gap for primary care facilities with a minimum of two nurses",,,,,,,"num_primary_care_with_min_2_nurses_fulltime","num_primary_health_facilities"
,,"float","gap_primary_health_facility_with_min_4_sr_CHEW","Gap for primary health facilities with a minimum of 3 Sr CHEW",,,,,,,"num_primary_care_with_min_4_sr_chews","num_primary_health_facilities"
,,"float","gap_basic_primary_with_min_1_jr_chew","Gap for basic health facilities with a minimum of 1 Jr CHEW",,,,,,,"num_basic_facilities_with_min_1_jr_chew","num_basic_health_facilities"
,,"float","gap_primary_schools_potable_water","Gap for primary schools with potable water",,,,,,,"num_primary_schools_with_potable_water","num_primary_schools"
,,"float","gap_primary_schools","Gap for target primary schools",,,,,,,"num_primary_schools","target_num_primary_schools"
,,"float","gap_primary_school_classrooms_good_cond","Gap for primary school classrooms in good condition",,,,,,,"num_primary_classrooms_good_cond","target_num_primary_classrooms"
,,"float","gap_primary_schools_improved_sanitation_functioning","Gap for primary schools with functional improved sanitation",,,,,,,"num_primary_schools_with_improved_sanitation_functioning","num_primary_schools"
,,"float","gap_primary_schools_with_chalkboards_each_classroom",,,,,,,,"num_primary_schools_with_chalkboards_each_classroom","num_primary_schools"
,,"float","gap_benches_primary_schools","Gap number of benches for primary schools",,,,,,,"primary_school_benches","sum_target_primary_school_benches"
,,"float","gap_desks_primary_schools","Gap number of desks for primary schools",,,,,,,"primary_school_desks","sum_target_primary_school_desks"
,,"float","gap_textbooks_primary_schools","Gap number of textbooks in primary schools",,,,,,,"primary_school_textbooks","sum_target_primary_school_textbooks"
,,"float","gap_exercise_books_primary_schools","Gap number of exercise books in primary schools",,,,,,,"primary_school_exercise_books","sum_target_primary_school_exercise_books"
,,"float","gap_primary_schools_with_sufficient_pens","Gap number of primary schools that provide pens and pencils to students and have sufficient for each student",,,,,,,"num_primary_schools_with_sufficient_pens","num_primary_schools"
,,"float","gap_primary_schools_natl_curriculum_and_teaching_kit","Gap number of primary schools that use national curriculum and in which teachers have teaching tool kits",,,,,,,"num_primary_schools_natl_curriculum_and_teaching_kit","num_primary_schools"
,,"float","gap_qualified_teachers_primary_schools","Gap number of qualified teachers for primary schools",,,,,,,"primary_school_teachers_qualified","num_primary_classrooms_good_cond"
